query_group,query_domain,mimetype,capture_year,records,first_capture,last_capture,unique_original_urls,unique_digests
beppegrillo,beppegrillo.it,text/html,2005,948,20050116022801,20051231234751,262,948
beppegrillo,beppegrillo.it,text/html,2006,4372,20060101034522,20061231231127,1048,4372
beppegrillo,beppegrillo.it,text/html,2007,3815,20070101163532,20071030065630,1835,3814
beppegrillo,beppegrillo.it,text/html,2008,432,20080315051741,20081230160151,391,404
beppegrillo,beppegrillo.it,text/html,2009,5148,20090101025233,20091231173938,4444,4816
beppegrillo,beppegrillo.it,text/html,2010,6138,20100101052337,20101231074645,5182,5564
beppegrillo,beppegrillo.it,text/html,2011,8412,20110101012349,20111231103605,7841,8226
beppegrillo,beppegrillo.it,text/html,2012,17007,20120101080142,20121231113934,12184,15626
beppegrillo,beppegrillo.it,text/html,2013,3728,20130101050530,20131229193224,3487,3651
beppegrillo,www.beppegrillo.it,text/html,2005,948,20050116022801,20051231234751,262,948
beppegrillo,www.beppegrillo.it,text/html,2006,4372,20060101034522,20061231231127,1048,4372
beppegrillo,www.beppegrillo.it,text/html,2007,3815,20070101163532,20071030065630,1835,3814
beppegrillo,www.beppegrillo.it,text/html,2008,432,20080315051741,20081230160151,391,404
beppegrillo,www.beppegrillo.it,text/html,2009,5148,20090101025233,20091231173938,4444,4816
beppegrillo,www.beppegrillo.it,text/html,2010,6138,20100101052337,20101231074645,5182,5564
beppegrillo,www.beppegrillo.it,text/html,2011,8412,20110101012349,20111231103605,7841,8226
beppegrillo,www.beppegrillo.it,text/html,2012,17007,20120101080142,20121231113934,12184,15626
beppegrillo,www.beppegrillo.it,text/html,2013,3728,20130101050530,20131229193224,3487,3651
blogdellestelle,www.ilblogdellestelle.it,text/html,2012,47,20121025005002,20121228092446,26,47
blogdellestelle,www.ilblogdellestelle.it,text/html,2013,39,20130127024450,20131230104413,29,39
blogdellestelle,www.ilblogdellestelle.it,text/html,2014,1,20140206194655,20140206194655,1,1
blogdellestelle,www.ilblogdellestelle.it,text/html,2015,1,20151213114747,20151213114747,1,1
blogdellestelle,www.ilblogdellestelle.it,text/html,2016,4799,20160114074930,20161231233517,2759,4154
blogdellestelle,www.ilblogdellestelle.it,text/html,2017,8068,20170101005019,20171231080127,5289,7303
blogdellestelle,www.ilblogdellestelle.it,text/html,2018,5132,20180101084813,20181231135600,2688,4549
blogdellestelle,www.ilblogdellestelle.it,text/html,2019,42184,20190101121644,20191231224817,30824,42180
blogdellestelle,www.ilblogdellestelle.it,text/html,2020,38383,20200101001854,20201231234453,23613,38356
blogdellestelle,www.ilblogdellestelle.it,text/html,2021,73898,20210101022335,20211231031252,23740,73896
blogdellestelle,www.ilblogdellestelle.it,text/html,2022,53657,20220101083222,20221231135830,24638,53654
blogdellestelle,www.ilblogdellestelle.it,text/html,2023,17504,20230103071355,20231231235542,15044,17497
blogdellestelle,www.ilblogdellestelle.it,text/html,2024,6292,20240101154222,20241227184328,4365,6289
blogdellestelle,www.ilblogdellestelle.it,text/html,2025,22145,20250108185500,20251231192158,14519,22143
blogdellestelle,www.ilblogdellestelle.it,text/html,2026,7543,20260101005933,20260511070650,7031,7543
movimento5stelle,movimento5stelle.eu,text/html,2012,15,20120913051642,20121114103409,5,15
movimento5stelle,movimento5stelle.it,text/html,2010,2,20100323054903,20101227153209,1,2
movimento5stelle,movimento5stelle.it,text/html,2011,12,20110128030519,20111201130517,2,12
movimento5stelle,movimento5stelle.it,text/html,2012,16,20120109095159,20121226133422,3,16
movimento5stelle,movimento5stelle.it,text/html,2013,41,20130116032533,20131230053306,10,41
movimento5stelle,www.movimento5stelle.eu,text/html,2012,15,20120913051642,20121114103409,5,15
movimento5stelle,www.movimento5stelle.it,text/html,2010,2,20100323054903,20101227153209,1,2
movimento5stelle,www.movimento5stelle.it,text/html,2011,12,20110128030519,20111201130517,2,12
movimento5stelle,www.movimento5stelle.it,text/html,2012,16,20120109095159,20121226133422,3,16
movimento5stelle,www.movimento5stelle.it,text/html,2013,41,20130116032533,20131230053306,10,41
